from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
21917,70174,1,,,,,,45804961-20:45-ReservoirRiverside1,45804961-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804962-20:45-ReservoirRiverside1,45804962-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804966-20:45-ReservoirRiverside1,45804966-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804971-20:45-ReservoirRiverside1,45804971-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804980-20:45-ReservoirRiverside1,45804980-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804992-20:45-ReservoirRiverside1,45804992-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804993-20:45-ReservoirRiverside1,45804993-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45804996-20:45-ReservoirRiverside1,45804996-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805013-20:45-ReservoirRiverside1,45805013-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805022-20:45-ReservoirRiverside1,45805022-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805024-20:45-ReservoirRiverside1,45805024-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805026-20:45-ReservoirRiverside1,45805026-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805028-20:45-ReservoirRiverside1,45805028-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805036-20:45-ReservoirRiverside1,45805036-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805039-20:45-ReservoirRiverside1,45805039-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805040-20:45-ReservoirRiverside1,45805040-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805051-20:45-ReservoirRiverside1,45805051-20:45-ReservoirRiverside2
21917,70174,1,,,,,,45805052-20:45-ReservoirRiverside1,45805052-20:45-ReservoirRiverside2
29001,70031,1,,,,,,45510571-HaySullTufts1,45510571-HaySullTufts2
29001,70031,1,,,,,,45510573-HaySullTufts1,45510573-HaySullTufts2
29001,70031,1,,,,,,45510574-HaySullTufts1,45510574-HaySullTufts2
29001,70031,1,,,,,,45510575-HaySullTufts1,45510575-HaySullTufts2
29001,70031,1,,,,,,45510576-HaySullTufts1,45510576-HaySullTufts2
29001,70031,1,,,,,,45510577-HaySullTufts1,45510577-HaySullTufts2
29001,70031,1,,,,,,45510619-HaySullTufts1,45510619-HaySullTufts2
29001,70031,1,,,,,,45510620-HaySullTufts1,45510620-HaySullTufts2
29001,70031,1,,,,,,45510621-HaySullTufts1,45510621-HaySullTufts2
29001,70031,1,,,,,,45510622-HaySullTufts1,45510622-HaySullTufts2
29001,70031,1,,,,,,45510623-HaySullTufts1,45510623-HaySullTufts2
29001,70031,1,,,,,,45510624-HaySullTufts1,45510624-HaySullTufts2
29001,70031,1,,,,,,45510625-HaySullTufts1,45510625-HaySullTufts2
29001,70031,1,,,,,,45510626-HaySullTufts1,45510626-HaySullTufts2
29001,70031,1,,,,,,45510627-HaySullTufts1,45510627-HaySullTufts2
29001,70031,1,,,,,,45510628-HaySullTufts1,45510628-HaySullTufts2
29001,70031,1,,,,,,45510629-HaySullTufts1,45510629-HaySullTufts2
29001,70031,1,,,,,,45510630-HaySullTufts1,45510630-HaySullTufts2
29001,70031,1,,,,,,45510631-HaySullTufts1,45510631-HaySullTufts2
29001,70031,1,,,,,,45510632-HaySullTufts1,45510632-HaySullTufts2
29001,70031,1,,,,,,45510633-HaySullTufts1,45510633-HaySullTufts2
29001,70031,1,,,,,,45510634-HaySullTufts1,45510634-HaySullTufts2
29001,70031,1,,,,,,45510635-HaySullTufts1,45510635-HaySullTufts2
29001,70031,1,,,,,,45510636-HaySullTufts1,45510636-HaySullTufts2
29001,70031,1,,,,,,45510637-HaySullTufts1,45510637-HaySullTufts2
29001,70031,1,,,,,,45510638-HaySullTufts1,45510638-HaySullTufts2
29001,70031,1,,,,,,45510639-HaySullTufts1,45510639-HaySullTufts2
29001,70031,1,,,,,,45510640-HaySullTufts1,45510640-HaySullTufts2
29001,70031,1,,,,,,45510641-HaySullTufts1,45510641-HaySullTufts2
29001,70031,1,,,,,,45510642-HaySullTufts1,45510642-HaySullTufts2
29001,70031,1,,,,,,45510643-HaySullTufts1,45510643-HaySullTufts2
29001,70031,1,,,,,,45510644-HaySullTufts1,45510644-HaySullTufts2
29001,70031,1,,,,,,45510645-HaySullTufts1,45510645-HaySullTufts2
